claim,ground_truth
moyo district is a territory of uganda,True
pamir mountains is a territory of tajikistan,True
pamir mountains is a territory of republic of china,True
pamir mountains is a territory of people's republic of china,True
paracel islands is a territory of people's republic of china,True
paracel islands is a territory of republic of china,True
paracel islands is a territory of vietnam,True
ryanggang province is a territory of republic of china,True
ryanggang province is a territory of south korea,True
ryanggang province is a territory of north korea,True
rasŏn administrative division is a territory of republic of china,True
moyo district is a territory of south sudan,True
rasŏn administrative division is a territory of north korea,True
rasŏn administrative division is a territory of south korea,True
scarborough shoal is a territory of philippines,True
scarborough shoal is a territory of republic of china,True
scarborough shoal is a territory of people's republic of china,True
senkaku islands is a territory of japan,True
senkaku islands is a territory of people's republic of china,True
senkaku islands is a territory of republic of china,True
shaksgam valley is a territory of republic of china,True
chiengi is a territory of zambia,True
shaksgam valley is a territory of india,True
sixty-four villages east of the heilongjiang river is a territory of russia,True
sixty-four villages east of the heilongjiang river is a territory of republic of china,True
south tibet is a territory of india,True
south tibet is a territory of people's republic of china,True
south tibet is a territory of republic of china,True
spratly islands is a territory of malaysia,True
spratly islands is a territory of people's republic of china,True
spratly islands is a territory of philippines,True
spratly islands is a territory of brunei,True
chiengi is a territory of democratic republic of congo,True
spratly islands is a territory of republic of china,True
spratly islands is a territory of vietnam,True
taiwan is a territory of people's republic of china,True
taiwan is a territory of republic of china,True
penghu is a territory of republic of china,True
penghu is a territory of people's republic of china,True
kinmen is a territory of republic of china,True
kinmen is a territory of people's republic of china,True
matsu islands is a territory of republic of china,True
matsu islands is a territory of people's republic of china,True
lunchinda-pweto province is a territory of democratic republic of congo,True
pratas island is a territory of people's republic of china,True
pratas island is a territory of republic of china,True
trans-karakoram tracts is a territory of republic of china,True
trans-karakoram tracts is a territory of people's republic of china,True
trans-karakoram tracts is a territory of india,True
tuva is a territory of russia,True
tuva is a territory of republic of china,True
wakhan corridor is a territory of islamic republic of afghanistan,True
wakhan corridor is a territory of republic of china,True
yalu river is a territory of south korea,True
kafia kingi is a territory of south sudan,True
lunchinda-pweto province is a territory of zambia,True
yalu river is a territory of north korea,True
yalu river is a territory of people's republic of china,True
mayotte is a territory of france,True
mayotte is a territory of comoros,True
mbamba bay is a territory of tanzania,True
mbamba bay is a territory of malawi,True
lake nyasa is a territory of malawi,True
lake nyasa is a territory of tanzania,True
mbañie island is a territory of equatorial guinea,True
mbañie island is a territory of gabon,True
cocotiers is a territory of equatorial guinea,True
banc du geyser is a territory of madagascar,True
cocotiers is a territory of gabon,True
congas island is a territory of equatorial guinea,True
congas island is a territory of gabon,True
migingo island is a territory of kenya,True
migingo island is a territory of uganda,True
lolwe is a territory of kenya,True
lolwe is a territory of uganda,True
oyasi is a territory of uganda,True
remba is a territory of uganda,True
banc du geyser is a territory of france,True
remba is a territory of kenya,True
ringiti is a territory of uganda,True
ringiti is a territory of kenya,True
sigulu is a territory of kenya,True
sigulu is a territory of uganda,True
lake victoria is a territory of uganda,True
congo river is a territory of republic of the congo,True
congo river is a territory of democratic republic of congo,True
ntem river is a territory of equatorial guinea,True
banc du geyser is a territory of comoros,True
ntem river is a territory of cameroon,True
okpara river is a territory of nigeria,True
okpara river is a territory of benin,True
orange river is a territory of south africa,True
orange river is a territory of namibia,True
rukwanzi island is a territory of democratic republic of congo,True
rukwanzi island is a territory of uganda,True
semliki river is a territory of uganda,True
semliki river is a territory of democratic republic of congo,True
sindabezi island is a territory of zimbabwe,True
bassas da india is a territory of france,True
sindabezi island is a territory of zambia,True
socotra archipelago is a territory of somalia,True
socotra archipelago is a territory of yemen,True
tromelin island is a territory of mauritius,True
tromelin island is a territory of france,True
wadi halfa is a territory of sudan,True
wadi halfa is a territory of egypt,True
ashmore and cartier islands is a territory of australia,True
ashmore and cartier islands is a territory of indonesia,True
aarsal is a territory of syria,True
"former president donald trump ""intends to enact what, in effect, is a national sales tax ... that would raise prices on middle-class families by almost $4,000 a year.""",True
former president donald trump is “against mail in voting.”,True
“candace owens vows to have taylor swift banned from next nfl season.”,False
"“there is a direct connection between discriminatory policies within the usda and the enormous land loss we have seen among black farmers over the past century.""",True
"""in the wisconsin state assembly this session, more than 75% of gop bills received a public hearing. meanwhile, the gop allowed less than 2% of democratic bills to have a hearing.""",True
all men aged 18 to 26 “have been automatically registered in the u.s. army.”,False
“caitlin clark rejects $400 million deal from nike” saying “not with that kaepernick clown.’”,False
"california assembly bill 1955 “would allow schools to secretly, socially and perhaps medically transition your child without your knowledge and consent.""",False
“caitlin clark has officially joined the canadian women's olympic team.”,False
cristiano ronaldo was the only european soccer captain who did not wear a rainbow armband at euro 2020.,False
the trump administration “achieved the lowest african american unemployment rate and the lowest african american poverty rate ever recorded.”,True
crime statistics “no longer include data from 30% of the country including the biggest and most violent cities.”,False
the 9th circuit court of appeals “just ruled covid vax mandates unconstitutional.”,False
"""apple is … about to start charging us to use the facetime feature.”",False
"pittsburgh steelers coach “directs team to not participate in pride month” calling it ""woke crap""",False
"""trump can’t be on the texas ballot because of our state constitution.""",False
fuddruckers is “closing all locations.”,False
"""the last administration oversaw the largest increase in murders ever recorded.""",True
kansas city chiefs said they refuse to participate in pride month because ‘it’s extremely woke.’,False
"harpercollins “removed 64,575 words from the bible.”",False
says sen. lindsey graham said a newly elected donald trump “will round up and deport legal immigrants.”,False
audio of president joe biden’s interview with special counsel robert hur leaked.,False
“wage increases have exceeded” the cost of inflation.,True
“james woods leaves hollywood to join mel gibson’s new non-woke film studio.”,False
“kyle rittenhouse’s mom is 38.”,False
“elon musk sues the view and whoopi goldberg for $60 million.”,False
joe biden wants “to quadruple your taxes.”,False
donald trump wants to terminate the affordable care act.,True
“walmart has announced starting june 3rd all locations in the u.s. will go back to 24hrs.”,False
"when secretary of state antony blinken was in ukraine recently ""he announced that they were going to suspend elections in ukraine.""",False
“violent crime is near a record 50-year low.”,True
“elon musk fires entire cast of “the view ” after acquiring abc.”,False
"nfl referees “flex their authority, eject five players” for kneeling during the national anthem.",False
"bird flu in the u.s. is a ""scamdemic"" timed to coincide with the 2024 presidential elections “by design.”",False
“u.s. olympic committee says lia thomas is welcome to try out for the men’s team.”,False
“dr. sebi’s daughter was sentenced to 155 years in prison for revealing top secret health hacks.”,False
"tariffs are a “direct, regressive tax on americans” and president joe biden’s new tariffs on chinese goods will “hit every family.”",True
"robert f. kennedy jr. called voter id “racist,” calls nra a “terrorist organization” and supports affirmative action.",True
former president donald trump “has the worst record of job loss of any president.”,True
"""trump bailed out wall street, but not main street.""",False
says gubernatorial candidate rebecca kleefisch “worked with scott walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”,True
your state will send you free infant formula if you call enfamil and similac customer service numbers.,False
derek chauvin had his left hand in his pocket while kneeling on george floyd.,False
"""since the mid-'90s, this country has been governed by revolving continuing resolution and omnibus spending bill(s). … that is the reason we're $33 trillion in debt.""",True
poll watchers in philadelphia prevented from entering polling places.,True
"“for african american families in particular, the homeownership rate remains relatively unchanged since 1968, the year the fair housing act was signed into law.”",True
“private insurance gives … better coverage” than people would get under a medicaid expansion.,False
"quotes joe biden as saying, “the things i did while in elected office should not be made public while i am seeking a higher public office.”",True
"""our supreme court has never taken away a constitutional right.""",False
"nikki haley “says the retirement age at 65 is way too low, it must be much higher.”",True
says donald trump said “good” during the final presidential debate in reference to families being separated at the border.,False
“lego donates model mri kits to hospitals to help children understand the procedure and reduce their anxiety.”,True
the electronic registration information center is “a system that’s funded by george soros.”,False
new york state “hospitals reporting thousands of fungus lung infections due to wearing a mask!!”,False
"“this month alone, more than 16,000 non-citizens have been removed from the voter rolls in 3 states.”",True
minnesota gov. tim walz signed a bill “redefining ‘sexual orientation’ to include pedophiles.”,False
says he is the ‘ranking member’ of the house select committee investigating the jan. 6 attack on the u.s. capitol.,False
"waiting periods for gun purchases may not make a difference, because ""if somebody's decided that they're gonna take their life, they're gonna take their life.""",False
republicans are “trying to create a fake unemployment crisis.”,False
"gaza has “the highest number of people facing catastrophic hunger ever recorded by the integrated food security classification system — anywhere, anytime.”",True
says a 2010 rockefeller foundation report shows the covid-19 pandemic and the international response were “meticulously planned at least 10 years ago.”,False
"“it now appears there actually was meaningful voter fraud in fulton county, georgia, last november. that is not a conspiracy theory. it's true.”",False
“antifa is warning that tonight they're moving out of the cities - and into residential areas to 'take what's ours.'”,False
"judge jeff davis ""spent years defending a convicted cop killer"" and ""tried to get him off the hook.""",True
says alexandria ocasio-cortez “says that all young people want to be socialists.”,False
"the coronavirus has seen a “big surge in new zealand. it's terrible. we don't want that.""",False
bath and body works products are not recommended during pregnancy because they are suspected of “damaging fertility or the unborn child.”,False
members of the us women’s national soccer team turned their backs on the flag as a 98-year-old world war ii veteran played the anthem.,False
“the cbo says (the build back better act) is $3 trillion of deficit spending.”,False
a person’s immune system “tanks” after their second covid-19 vaccine dose.,False
“myanmar used dominion voting systems.”,False
"senate republicans' move to confirm judge amy coney barrett to the supreme court in an election year is ""not constitutional.""",False
"says amber alerts are issued for white kids ""but not black kids in milwaukee.""",False
"""ron johnson has voted against funding for law enforcement and recently opposed a plan to recruit and train new officers """,False
“caitlin clark declines $1 million offer from abc to appear on ‘the view.’”,False
“individuals released from incarceration are 129 times more likely to die of a drug overdose during the first two weeks after release.”,True
"“we know mask mandates work. there’s enough evidence out there between counties that have done it and counties that haven’t.""",True
"the american medical association rescinded a previous statement and now says ""hydroxychloroquine is okay"" for covid-19.",False
"“the wisconsin voter roll has over 120,000 active voters who have been registered to vote for over 100 years.”",False
says of gov. tony evers and 2020 violence in kenosha after the police shooting of jacob blake: “it took the loss of lives before help finally came.”,False
“putin has stated: russian citizens (have) 2 options: stay home for 15 days or in jail for 5 years.”,False
“mike tyson says he’s willing to box olympic dude with all proceeds to go to a battered women’s charity.”,False
“free health allowance is available at no cost.”,False
"“one quarter” of today’s $31.4 trillion federal debt “was accumulated in the four years of my predecessor,” donald trump.",True
"“we’ve had more americans die of fentanyl than the iraq, afghanistan, and vietnam wars, combined.”",True
"“pelosi’s $1.9 trillion bailout gives every federal employee a $21,000 bonus check… they never lost their job!”",False
"""tim walz signed into law driver's licenses for illegal immigrants in minnesota.""",True
"bernie sanders has “never taken corporate lobbyist money in his *entire political career.*""",False
“starbucks just announced that they’re going cashless.”,False
“tim ryan when he ran for president two years ago … supported banning fracking both on public lands and generally speaking.”,True
"“bernie sanders wants free health care for all and was asked how he would pay for it. his answer was raise taxes to 52% on anybody making over $29,000 per year.”",False
"“in 2021, minnesotans were roughly five times more likely to move to florida than vice versa” because they were “fleeing” the state under democratic gov. tim walz.""",True
says melania trump is the “first flotus to visit troops in a combat zone since 1969.”,False
"“joe biden’s margin of the less than 21,000 votes in wisconsin was the tightest of any state in 2020.”",False
chief justice john roberts visited jeffrey epstein's private island.,False
“congress has one job here: to count electoral votes that have in fact been cast by any state.”,True
"eric schmitt “sponsored a bill to spend $480 million of your tax dollars” on cargo hub for airlines ""owned by china's communist party” and ""voted to let china buy up missouri farmland.""",True
"says nbc news’ kristen welker “gave thousands of dollars to obama, clinton and biden, is registered as a democrat & her family spent christmas with the obamas at the white house.”",False
"says his jan. 6, 2021, speech on the white house ellipse drew the “same number of people,” as the 1963 march on washington where martin luther king jr. gave his “i have a dream” speech.",False
"""antifa was already inside the capitol with floor plans dressed as trump supporters"" on jan. 6, 2021, proving the attack “was 100% a setup.""",False
"says marjorie taylor greene said, “jesus loves the u.s. most and that is why the bible is written in english.”",False
"during the 2020 minnesota riots after george floyd’s murder, gov. tim walz didn’t call in the national guard, “so, i sent in the national guard to save minneapolis.”",False
"“infection rates in allegany, cattaraugus and chautauqua counties have consistently been among the lowest in the state.”",True
"“anything that you lose on the tariff from the perspective of the consumer, you gain in higher wages, so you're ultimately much better off.”",False
president joe biden walked “onto an empty airplane for no reason.”,False
the united nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to ukraine.,True
"says gov. tony evers ""wanted to increase your taxes by $1 billion just for heating your homes instead, republicans cut your taxes by more than $2 billion.""",True
"“since the week ending march 14, wisconsin actually saw a drop in tourism spending compared to last year of $1.7 billion.”",True
"“michael jordan rejects $400 million disney offer, stating, ‘i do not collaborate with companies aligned with woke ideologies.’”",False
“the white house gift shop is putting out a commemorative coin for donald trump's indictment.”,True
“harvard is sitting on top of a $54 billion hedge fund they call an ‘endowment’ that they pay zero taxes on. yale has $31 billion. stanford $29 billion. princeton $26 billion.”,True
the united states spent “2 trillion dollars to train and equip the afghan military over the past 20 years. they fell in a week.”,True
"""(ron) desantis' bill would remove: background checks, instruction, training and oversight.""",True
"discussing gender-affirming surgical care for minors, said that sweden “shut it down.”",True
"“homicides are intraracial. when you look at white-on-white crime, it's 84%. right? homicides. white people kill white people.”",True
“24 of every 100 kids in school today speak spanish.”,True
“we have 85 million americans who have no health insurance.”,True
“violent crime was up under donald trump.”,True
children ages 5 to 9 “are not affected by” the coronavirus.,True
"in pompano beach, florida, somali immigrants illegally in the u.s. were in line to get driver’s licenses and “all you need to vote is a driver's license.”",False
"china “had the largest naval fleet in the world. they had 370 ships. they'll have 400 ships in two years. we won't even have 350 ships in two decades.""",True
"""the postal service is not losing money because of amazon. it’s losing money because in 2006, the republican-led congress passed a law forcing it to prepay its pensions for 75 years, which no other corporation does ... without this law, the postal service would be turning a profit.”",True
"""we put $330 million in general school aids — the largest in more than a decade.""",True
"“elon musk backs caitlin clark, offers $10 million endorsement.”",False
"says president donald “trump promised 13,000 new jobs to the people of #wisconsin. 3 years later, we’re still waiting…”",True
"speaking of an hiv outbreak in indiana during his time as governor, says “we immediately deployed health resources.”",True
"“when i came into office, iran had $70 billion in foreign exchange reserves. … by the time i left, they had nothing. they were broke.”",True
"“wisconsin had over 1,400 opioid overdose deaths in 2022.”",True
quotes sen. mitt romney as saying: “the merrick garland decision wasn’t unfair & the notion that someone has to pay the price to make up for it is wrong.”,True
"""samsung drops out of $1 billion advertising campaign with olympics.""",False
"baby boomers didn’t have autism, seizures, allergies and other ailments when they were kids.",True
"“classified documents can never be taken out of a (sensitive compartmented information facility), ever.”",True
"the united states had 589 coal-fired plants 10 years ago, and “we're down to 504. … we are the only nation that has reduced our reliance (on) coal energy.""",True
"“kamala cast the tie breaking vote to hire 87,000 new irs agents to go after your tip income.”",False
a phoenix tv station aired the election results more than a week early.,True
“overdose deaths in wv are up 45% from the prior year.”,True
“texas ranks 3rd highest among states for the number of people who have recovered from” the coronavirus.,True
“pete buttigieg is a favorite candidate of wall street and the health care industry.”,True
“netflix loses 6 million subscribers within hours of donation announcement.”,False
"“when we discovered, i discovered, that we were doing many, many, too many stop and frisks, we cut 95% of it out.”",True
“wisconsin is 49th in public health spending.”,True
"“this year, it's going to be over $1.5 trillion (that we’ve) reduced the debt.""",True
black lives matter protesters outside the white house faced a more militarized response than rioters who assaulted the capitol.,True
"“in april last year, our state unemployment rate hit a record low of 2.4%. last year, wisconsin had an all-time lowest number of unemployed workers ever in modern history.”",True
"in georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""",True
"“a few years back,” mitchell stadium in bluefield, w.va., “was voted the best high school football field in america.”",True
project 2025 would end gay marriage.,False
“ron desantis is against fracking. he is against drilling”,True
"“before the pandemic, just over 40,000 were on continuing ui claims. now, there are well over 100,000 on state or federal ui benefits.”",True
“100 million ballots (democrats) prefilled now have the wrong name.”,False
"""higher education is one of america's strongest export sectors. over 1 million international students studied at american universities, (in the) 2018-19 school year. they contributed over $40 billion to the economy.”",True
kamala harris “supported abolishing ice.”,False
"due to u.s. senate rules, democrats need ""more than a majority ... to codify roe vs. wade.""",True
abc news reporter said “government tried to kill” former president donald trump.,False
"in afghanistan, “over 100 billion dollars spent on military contracts.”",True
