claim,ground_truth
moyo district is a territory of uganda,True
pamir mountains is a territory of tajikistan,True
pamir mountains is a territory of republic of china,True
pamir mountains is a territory of people's republic of china,True
paracel islands is a territory of people's republic of china,True
paracel islands is a territory of republic of china,True
paracel islands is a territory of vietnam,True
ryanggang province is a territory of republic of china,True
ryanggang province is a territory of south korea,True
ryanggang province is a territory of north korea,True
rasŏn administrative division is a territory of republic of china,True
moyo district is a territory of south sudan,True
rasŏn administrative division is a territory of north korea,True
rasŏn administrative division is a territory of south korea,True
scarborough shoal is a territory of philippines,True
scarborough shoal is a territory of republic of china,True
scarborough shoal is a territory of people's republic of china,True
senkaku islands is a territory of japan,True
senkaku islands is a territory of people's republic of china,True
senkaku islands is a territory of republic of china,True
shaksgam valley is a territory of republic of china,True
chiengi is a territory of zambia,True
shaksgam valley is a territory of india,True
sixty-four villages east of the heilongjiang river is a territory of russia,True
sixty-four villages east of the heilongjiang river is a territory of republic of china,True
south tibet is a territory of india,True
south tibet is a territory of people's republic of china,True
south tibet is a territory of republic of china,True
spratly islands is a territory of malaysia,True
spratly islands is a territory of people's republic of china,True
spratly islands is a territory of philippines,True
spratly islands is a territory of brunei,True
chiengi is a territory of democratic republic of congo,True
spratly islands is a territory of republic of china,True
spratly islands is a territory of vietnam,True
taiwan is a territory of people's republic of china,True
taiwan is a territory of republic of china,True
penghu is a territory of republic of china,True
penghu is a territory of people's republic of china,True
kinmen is a territory of republic of china,True
kinmen is a territory of people's republic of china,True
matsu islands is a territory of republic of china,True
matsu islands is a territory of people's republic of china,True
lunchinda-pweto province is a territory of democratic republic of congo,True
pratas island is a territory of people's republic of china,True
pratas island is a territory of republic of china,True
trans-karakoram tracts is a territory of republic of china,True
trans-karakoram tracts is a territory of people's republic of china,True
trans-karakoram tracts is a territory of india,True
tuva is a territory of russia,True
tuva is a territory of republic of china,True
wakhan corridor is a territory of islamic republic of afghanistan,True
wakhan corridor is a territory of republic of china,True
yalu river is a territory of south korea,True
kafia kingi is a territory of south sudan,True
lunchinda-pweto province is a territory of zambia,True
yalu river is a territory of north korea,True
yalu river is a territory of people's republic of china,True
mayotte is a territory of france,True
mayotte is a territory of comoros,True
mbamba bay is a territory of tanzania,True
mbamba bay is a territory of malawi,True
lake nyasa is a territory of malawi,True
lake nyasa is a territory of tanzania,True
mbañie island is a territory of equatorial guinea,True
mbañie island is a territory of gabon,True
cocotiers is a territory of equatorial guinea,True
banc du geyser is a territory of madagascar,True
cocotiers is a territory of gabon,True
congas island is a territory of equatorial guinea,True
congas island is a territory of gabon,True
migingo island is a territory of kenya,True
migingo island is a territory of uganda,True
lolwe is a territory of kenya,True
lolwe is a territory of uganda,True
oyasi is a territory of uganda,True
remba is a territory of uganda,True
banc du geyser is a territory of france,True
remba is a territory of kenya,True
ringiti is a territory of uganda,True
ringiti is a territory of kenya,True
sigulu is a territory of kenya,True
sigulu is a territory of uganda,True
lake victoria is a territory of uganda,True
congo river is a territory of republic of the congo,True
congo river is a territory of democratic republic of congo,True
ntem river is a territory of equatorial guinea,True
banc du geyser is a territory of comoros,True
ntem river is a territory of cameroon,True
okpara river is a territory of nigeria,True
okpara river is a territory of benin,True
orange river is a territory of south africa,True
orange river is a territory of namibia,True
rukwanzi island is a territory of democratic republic of congo,True
rukwanzi island is a territory of uganda,True
semliki river is a territory of uganda,True
semliki river is a territory of democratic republic of congo,True
sindabezi island is a territory of zimbabwe,True
bassas da india is a territory of france,True
sindabezi island is a territory of zambia,True
socotra archipelago is a territory of somalia,True
socotra archipelago is a territory of yemen,True
tromelin island is a territory of mauritius,True
tromelin island is a territory of france,True
wadi halfa is a territory of sudan,True
wadi halfa is a territory of egypt,True
ashmore and cartier islands is a territory of australia,True
ashmore and cartier islands is a territory of indonesia,True
aarsal is a territory of syria,True
