claim,evidence,evidence_length,random_shuffled_context,id,claim_id,claimant,factcheck_verdict,is_gold,relevant,evidence_stance,fc_source
Blank COVID-19 vaccine safety inserts show there are no safety and effectiveness studies for these vaccines,"Video about blank COVID-19 vaccine insert falsely implies there are no safety data for COVID-19 vaccines [...] Inaccurate to claim there’s no safety and effectiveness studies on COVID-19 vaccines [...] Earlier fact-checks by Reuters and AFP reported that blank COVID-19 vaccine inserts aren’t evidence that there aren’t any safety or effectiveness studies about the vaccines. FDA spokesperson Alison Hunt told AFP that information for approved vaccines is provided in package inserts. But in the case of the authorized vaccines, the information was communicated via patient Fact Sheets that were posted on the FDA website.",94,"The claim: COVID-19 vaccines kill one in 1,000 recipients [...] ""VAERS data is crystal clear: The COVID vaccines are killing an estimated 1 person per 1,000 doses (676,000 dead Americans),"" reads the headline on a post by Steve Kirsch, a prominent skeptic of COVID-19 vaccine safety. [...] Kirsch questioned why a disproportionate number of deaths reported to VAERS for all vaccines came after COVID-19 vaccination. But Su said there are a number of possible explanations.",sciencefeedback_173_ret_bn_g0,sciencefeedback_173,Social media users,False,False,True,refutes,sciencefeedback
Moderna was already producing COVID-19 vaccines before the beginning of the pandemic,"It is neither a ""breaking"" revelation nor an ""admission"" that Moderna was working on a vaccine for the newly discovered coronavirus variant (then called 2019-nCoV and later renamed SARS-CoV-2) in January 2020; both Moderna and the federal government issued myriad press releases at the time. Further, mRNA vaccines like the ones Moderna had been developing well before the COVID-19 pandemic had long been considered a possible pathway to a vaccine to stop a coronavirus-driven outbreak. [...] ""Breaking,"" the viral tweet read, ""Moderna CEO admits on live air at Davos they were making a COVID-19 vaccine in January of 2020 before SARS-CoV-2 even had a name."" Davos refers to the annual meeting of the World Economic Forum — a meeting that occurs in January of each year and is a frequent target of conspiracy theorists. [...] Because it is not ""breaking"" news that Moderna had been working on a COVID-19 vaccine in January 2020, and because repeating publicly available information three years after its release does not constitute an ""admission"" of any kind, we rank this claim ""False.""",177,"From your article titled ""Vitamin C and D Finally Adopted as Coronavirus Treatment"" (https://articles.mercola.com/sites/articles/archive/2020/04/07/coronavirus-treatment.aspx): [...] - ""[V]itamin C at extremely high doses acts as an antiviral drug, effectively inactivating viruses."" - ""While high-dose vitamin C is new for COVID-19 treatment, it’s been used as a treatment for sepsis since about 2017. The vitamin C-based sepsis treatment was developed by Dr. Paul Marik …. In the interview above, Marik explains how the COVID-19 critical care protocol grew out of his sepsis treatment, as he and other doctors noticed there were many similarities between sepsis and severe COVID-19 infection ….""",sciencefeedback_175_ret_b0_gn,sciencefeedback_175,Instagram users,False,False,True,refutes,sciencefeedback
Moderna was already producing COVID-19 vaccines before the beginning of the pandemic,"FULL CLAIM: Moderna was already producing COVID-19 vaccines before the beginning of the pandemic; its CEO, Stéphane Bancel, predicted the pandemic [...] Another iteration of that type of claim is that Stéphane Bancel, CEO of the COVID-19 mRNA vaccine company Moderna, declared that Moderna was already producing 100,000 doses of COVID-19 vaccines in 2019, prior to the pandemic. This declaration would have occurred during a panel titled ""The state of the pandemic"" at the World Economic Forum in Davos on 18 January 2023. However, this is a misinterpretation of Bancel’s declaration, as we explain below. [...] Never did he specify that he was talking about COVID-19 vaccine doses. In fact, Bancel was commenting on the general Moderna manufacturing capacity in 2019 for any kind of vaccines. Moderna has been producing mRNA therapeutics since 2010 and was already working on mRNA vaccine candidates for other diseases in 2019. Moderna’s report to investors for the third quarter of 2019 shows that Moderna’s pipeline had at least three mRNA vaccine candidates, for Zika, RSV, and CMV. Furthermore, nowhere in the report is mentioned the development or production of mRNA vaccines for any coronavirus.",190,Coronavirus death rate: What are the chances of dying? The UK government's scientific advisers believe that the chances of dying from a coronavirus infection are between 0.5% and 1%. This is lower than the rate of death among confirmed cases - which is 4% globally in WHO figures and 5% in the UK as of March 23 - because not all infections are confirmed by testing.,sciencefeedback_175_ret_b1_gn,sciencefeedback_175,Instagram users,False,False,True,refutes,sciencefeedback
Moderna was already producing COVID-19 vaccines before the beginning of the pandemic,"An article published on the website News Punch on Feb. 10 said, ""Moderna CEO Stéphane Bancel has been caught admitting to his friends at the World Economic Forum that his company produced 100,000 doses of Covid-19 vaccine doses in 2019 – before the pandemic started."" [...] An article and Instagram posts claim Moderna CEO Stéphane Bancel said the company produced 100,000 doses of the COVID-19 vaccine before the pandemic. [...] Health Feedback, Moderna didn’t already produce COVID-19 mRNA vaccines before the pandemic; statement by CEO of Moderna misinterpreted, Feb. 14, 2023",91,"exceeded this threshold many times over. Federal health officials have not conceded that this amount of thimerosal in vaccines exceeded the FDA's more relaxed threshold of 0.4 micrograms per kilogram of body weight. In most cases, however, it clearly did. [...] For a 22-pound baby (ten kilograms), the threshold would be 1 microgram. The DTP (and DTaP) vaccine contained 25 micrograms of thimerosal per dose, as does the Hepatitis B vaccine. [...] The EPA's threshold is 0.1 micrograms per kilogram of body weight. For an eleven-pound baby, the EPA's safe threshold would be 0.5 micrograms. Although thimerosal has been removed from these vaccines today in the United States, in the 1990's, Aventis Pasteur's DTaP vaccine contained 25 micrograms of thimerosal. GlaxoSmithKline's Hepatitis B vaccine contained 12.5 micrograms of thimerosal. Wyeth",sciencefeedback_175_ret_b3_gn,sciencefeedback_175,Instagram users,False,False,True,insufficient-refutes,sciencefeedback
Moderna was already producing COVID-19 vaccines before the beginning of the pandemic,"The VRC worked with a company called Moderna to use this information to quickly customize their prototype approach to the SARS-CoV-2 spike protein. By early February, a COVID-19 vaccine candidate had been designed and manufactured. This vaccine is called mRNA-1273. By March 16, 2020, this vaccine had entered the first phase of clinical trials. Other vaccines, including a similar one from Pfizer and BioNTech SE, entered clinical trials not long after. On December 18, 2020, after demonstrating 94 percent efficacy, the NIH-Moderna vaccine was authorized by the U.S. Food and Drug Administration (FDA) for emergency use. Just days earlier, the similar Pfizer/BioNTech vaccine had become the first COVID-19 vaccine to be authorized for use in the United States. [...] Moderna, Inc. (n.d.). Moderna’s Work on a COVID-19 Vaccine Candidate. Retrieved December 10, 2020, from https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19",135,"Misinformation about COVID-19 vaccines harming fertility is a widespread myth that has damaged public trust in the vaccines. While the original vaccine clinical trials didn’t evaluate the effects of COVID-19 vaccines on fertility, scientific studies and safety surveillance data later on have shown that COVID-19 vaccines are safe for pregnant women and don’t cause pregnancy or fertility problems. COVID-19 itself is associated with an increased risk of pregnancy complications, which vaccination can help prevent. [...] Northrup’s speech supposedly provided evidence that COVID-19 vaccines harm fertility, particularly in women. However, the data that Northrup cited doesn’t support her claim, as they don’t come from reliable scientific studies but from partial analyses with many critical flaws, as we will explain below. [...] Claims that COVID-19 vaccines cause fertility and pregnancy problems are unsubstantiated and contradict the available evidence. Published studies so far show that COVID-19 vaccines are safe for pregnant women and not associated with pregnancy complications or infertility in men or women. It is COVID-19 itself that increases the risk of pregnancy complications and poses a risk to both the mother and the baby. Contrary to these claims, COVID-19 vaccination helps reduce the risk of harm to the mother and baby.",sciencefeedback_175_ret_bn_g15,sciencefeedback_175,Instagram users,False,False,True,insufficient-neutral,sciencefeedback
Babies under six months shouldn’t drink water as it can result in health risks,"Breastfeeding is recommended by numerous health agencies for providing the necessary nutrition and antibodies to a growing infant. Water isn’t necessary for babies to drink, and giving it to them can lead to overhydration and health effects such as nutrition deficiency, electrolyte imbalances, and in severe cases, hyponatremia, a condition that can cause seizures, coma, and death.",57,"FULL CLAIM: Bones ""are not made of calcium""; don’t use calcium supplements to treat osteoporosis; high estrogen is associated with osteoporosis ; wild yam is a treatment for osteoporosis In July 2024, a snippet of a presentation by naturopath Barbara O’Neill circulated on Facebook where she advocated against using calcium supplements to treat osteoporosis. O’Neill justified her statement by claiming that bones ""are not made of calcium"". Instead, she recommended the use of ""Anna’s wild yam cream"", which would allegedly ""lift the progesterone levels"" and foster new bone formation. [...] O’Neill provided an inaccurate explanation of how bones are formed and maintained throughout life. Contrary to her claim, calcium is an essential component of bones. Not consuming enough calcium is one of the risk factors that can jeopardize bone formation and lead to osteoporosis. Contrary to O’Neill’s claim, adopting a diet with more calcium is one of the first steps someone can take to prevent or slow down osteoporosis. Wild yam isn’t a proven treatment for osteoporosis, and there is no evidence that it can cause an increase in progesterone.",sciencefeedback_18,sciencefeedback_18,Social media user,True,True,True,supports,sciencefeedback
Babies under six months shouldn’t drink water as it can result in health risks,"FULL CLAIM: Giving water to babies under six months can result in health risks including water intoxication, electrolyte imbalance, reduced nutrient intake, water contamination, and hyponatremia A Facebook reel posted on 13 June 2024 claimed that giving water to babies under the age of six months can result in health risks, including reduced nutrient intake and infections from contaminated water. It also noted that ""too much water can cause low sodium levels, leading to brain swelling, seizures, and even death"". [...] Infants’ delicate physiology and developing systems aren’t equipped to handle consuming water. Breast milk and formula fulfill all of a baby’s nutritional needs prior to the age of six months.",111,"FULL CLAIM: ""Exposure to a virus is not the same as infection […] That means that a virus is not the cause of an illness. You can’t get a common cold without the virus. [...] On 6 April 2021, comedian Russel Brand posted a video on his Facebook page of him interviewing neuroscientist and psychologist Lisa Feldman Barrett, a professor at Northeastern University. In the video, Barrett argued that ""a virus is not the cause of an illness"". She explained that though the viruses are a necessary cause because ""you can’t get the common cold without the virus,"" they are not the cause [Barrett’s emphasis]. The video received more than 390,000 views and more than 16,000 interactions on Facebook, including likes and comments. [...] Although people varied in their susceptibility to developing the disease, the rhinovirus was still the cause of participants’ cold symptoms in the study. Without receiving the nasal drop containing the rhinovirus, none of the patients would have developed a cold. When discussing the causes and outcomes of a disease, distinguishing between a ""necessary cause"" and ""cause,"" and describing chronic stress as a cause rather than a contributing factor, as Barrett did, is imprecise and potentially misleading.",sciencefeedback_18_ret_b10_gn,sciencefeedback_18,Social media user,True,False,True,supports,sciencefeedback
Babies under six months shouldn’t drink water as it can result in health risks,"While water is necessary for adults, it's not so with infants. They get meet their fluids needs in other ways. David Berger, M.D. founder and owner of Wholistic Pediatrics & Family Care, and founder of Wholistic ReLeaf, says that drinking water even at 6 months of age, is not entirely necessary. ""Babies get all of the fluid they need through breast milk or formula,"" he continues. So if your 6-month-old only has a sip of water at first, rest assured that breast milk and/or formula will be enough to stave off any thirst. Baby Feeding Chart: How Much Infants Eat in the First Year Why Shouldn't Babies Under 6 Months Drink Water? Giving infants water before 6 months can pose some risks. Most notably, if a baby ""fills up"" on water, it might impede their ability to receive adequate nutrients. ""Giving water to them at this stage puts them at risk of consuming less breast milk or formula, thereby not receiving all the nutrients they provide,"" explains Dr. Johns. It's important to keep up with regular feedings of formula or breast milk so that babies can grow up healthily, with all the vitamins their body craves.",196,Characterization of respiratory illness surge (April-June 2021) post-COVID-19 lockdown - PMID: 34914208 - DOI: 10.1002/ppul.25792 Characterization of respiratory illness surge (April-June 2021) post-COVID-19 lockdown,sciencefeedback_18_ret_b14_gn,sciencefeedback_18,Social media user,True,False,True,supports,sciencefeedback
Babies under six months shouldn’t drink water as it can result in health risks,"Fact check: Giving water to babies is unsafe before 6 months, can lead to brain damage, death [...] ""BABIES CANT HAVE WATER BEFORE 6 MONTHS,"" reads the post. ""Please educate yourself before you harm your baby. Water dilutes the sodium levels in babies and can cause seizures, coma, brain damage or death."" [...] Pediatricians told USA TODAY giving water to babies under 6 months old can be hazardous to their health because their kidneys can't process much water. They recommended the exclusive use of breast milk or formula for the first six months.",93,"Certain life-threatening conditions during pregnancy can make abortion medically necessary in order to save the mother’s life. Preserving both the life of the mother and child by inducing early delivery, as the video suggests, is only possible if the fetus’ gestational age is advanced enough that it stands a chance of survival outside the womb. As this is not always the case, early delivery is not always a suitable alternative to abortion.",sciencefeedback_18_ret_b2_g6,sciencefeedback_18,Social media user,True,False,True,supports,sciencefeedback
Babies under six months shouldn’t drink water as it can result in health risks,"Facebook reel correctly claims that babies under six months shouldn’t drink water [...] Correct: Babies under the age of six months receive adequate hydration and nutrition through breast milk or formula. They don’t need to drink water, and doing so can in fact lead to health complications such as electrolyte and nutritional imbalances. A Facebook reel posted on 13 June 2024 claimed that giving water to babies under the age of six months can result in health risks, including reduced nutrient intake and infections from contaminated water. It also noted that ""too much water can cause low sodium levels, leading to brain swelling, seizures, and even death"".",107,"In mid-July 2024, a Facebook reel with almost half a million views claimed there is ""a direct correlation"" between the introduction of sunscreen use and skin cancer. It added that wearing sunglasses reduces natural protection against sunburn. [...] For the same reason, wearing sunglasses will also not prevent the skin from producing vitamin D. We already explained that vitamin D synthesis occurs in the skin, stimulated by solar UVB radiation. Because this process also doesn’t involve the eyes, wearing sunglasses doesn’t interfere with it. In brief, wearing sunglasses doesn’t increase the risk of sunburn and vitamin D deficiency but can help prevent other health problems instead. Overexposure to solar and artificial UV radiation can harm the eyes in the same way it harms the skin. The American Academy of Ophthalmology explains that too much exposure to UV light increases the risk of eye problems, including cataracts and eye cancers. To minimize these risks, the association recommends ""wearing UV-blocking sunglasses"" that provide 100% protection against both UVA and UVB rays.",sciencefeedback_18_ret_bn_g2,sciencefeedback_18,Social media user,True,False,True,supports,sciencefeedback
COVID-19 vaccines cause leprosy,"Leprosy is a disease caused by the bacteria Mycobacterium leprae. Most of the population is already immune to this infection due to natural immunity. It is a slowly progressing disease, with a low risk of transmission, that is curable with a six to twelve months multidrug therapies.",47,"This claim is based on a study which compared extremely short protein sequences between the 2019 novel coronavirus and HIV, a practice likely to give false positives. The study’s authors also overlooked checking for potential similarities between 2019-nCoV and other organisms. As it turned out, these short protein sequences were similar to many other organisms, not just HIV, thereby refuting the claim that 2019-nCoV contains DNA from the HIV virus.",sciencefeedback_184,sciencefeedback_184,Social media user,False,True,True,insufficient-neutral,sciencefeedback
COVID-19 vaccines cause leprosy,"Many of the people posting about this shared an article from The Epoch Times, which The New York Times has called a ""leading purveyor of right-wing misinformation."" The headline on the article read, ""Growing number of leprosy cases reported after COVID-19 vaccination,"" and the newspaper reported that researchers in the U.K. said two cases of leprosy could have been caused by the vaccine. Additionally, the article said, ""At least 14 other cases of leprosy or a leprosy reaction within 14 days of COVID-19 vaccination have been reported in the literature, including eight in India."" Under X’s new policy that allows readers to challenge controversial claims, a follow-up post was added that said, ""COVID vaccines do not cause leprosy. The study does NOT show that COVID-19 vaccination causes leprosy, or reduces a person’s immunity and makes it easier to get leprosy. Study participants already had been infected with leprosy months or years before COVID-19 vaccinations."" [...] It’s easy to see how people skimming headlines could make that association. Conduct an internet search for ""leprosy"" and ""COVID vaccines"" and you’ll find studies that have been published about how the vaccine could affect people who already have Hansen’s disease.",196,"Herbal remedies and traditional medicines are used by millions of people around the world. Chamomile can make us feel soothed and relaxed, while ginger can boost digestion and echinacea is thought to support the immune system. Medicinal herbs, leaves and roots are used to prevent and treat common ailments from colds and anxiety to nausea and skin ailments. [...] Today, plants are helping to cure some of the world's deadliest diseases. According to the World Health Organisation, globally the most common causes of death are heart disease, stroke, chronic obstructive pulmonary disease, respiratory infections and Alzheimer diseases and other dementias. Diarrhoeal diseases, cancer and diabetes are also big killers. There are treatments that were originally derived from nature available for almost all of them. [...] Childhood leukaemia is treated with drugs derived from the Madagascar periwinkle, Catharanthus roseus, a decorative herb native to the island of Madagascar. The Indigenous People of the island traditionally use the plant to treat diabetes. When western researchers were investigating its chemical properties in the 1950s, they realised that extracts from the plant contained chemicals with anti-cancer properties.",sciencefeedback_184_ret_b16_gn,sciencefeedback_184,Social media user,False,False,True,refutes,sciencefeedback
COVID-19 vaccines cause leprosy,COVID-19 vaccination and leprosy–A UK hospital-based retrospective cohort study 10.1371/journal.pntd.0011493 http://dx.doi.org/10.1371/journal.pntd.0011493 2023-08-16 false 10.1371/journal.pntd.0011493 www.plosntds.org 10.1371/journal.pntd.0011493 2023-08-16 false www.plosntds.org endstream endobj 2 0 obj <>,25,"Vaccination should not be delayed in anticipation of newer versions of the COVID-19 vaccine. For people at a high risk of getting severe COVID-19, a dose of any available vaccine is more beneficial than delaying vaccination. [...] Billions of people have received the COVID-19 vaccine to date, showing that the benefits of COVID-19 vaccinations outweigh the risks of getting ill with COVID-19. Do not delay COVID-19 vaccination if it is recommended for you by your health care provider. Getting vaccinated could protect you from severe illness and save your life. [...] More serious or long-lasting side effects of COVID-19 vaccines are possible but extremely rare. National health authorities monitor vaccines to detect and respond to rare adverse events. At the regional and global level, WHO also supports countries in monitoring vaccine safety.",sciencefeedback_184_ret_b6_gn,sciencefeedback_184,Social media user,False,False,True,insufficient-neutral,sciencefeedback
COVID-19 vaccines cause leprosy,"Incorrect: The increase in reported leprosy cases started before COVID-19 vaccines became available to the public. Thus, vaccination couldn’t have caused them. Inadequate support: Studies reporting a leprosy reaction in people recently vaccinated against COVID-19 don’t show that vaccines cause leprosy. In fact, leprosy reactions are inflammatory reactions occurring among people who were already infected with leprosy-causing bacteria before being vaccinated. A reel posted on Instagram in early January 2024 claimed that COVID-19 vaccines caused leprosy. The video mentioned a surge in leprosy cases in the U.S., where ""none of the traditional risk factors are being found"" and that medical journals had been establishing a correlation between COVID-19 vaccines and the surge in leprosy cases. The reel was viewed more than 30,000 times. [...] However, these reports don’t imply that the vaccine caused leprosy. Instead, the immune response to vaccination might increase the likelihood of leprosy reactions, which are inflammatory reactions in people already infected with M. leprae. Indeed, vaccination and infections caused by other pathogens have been identified before as possible risk factors for developing leprosy reactions[6,7]. Therefore, COVID-19 vaccines don’t cause leprosy; for the vaccine to trigger a leprosy reaction, the person needs to be already infected with M. leprae.",202,"Indeed, scientists remain divided on garlic’s ability to combat colds and flu. Last March, a major investigation by the respected global research organisation, the Cochrane Database, found that increasing your garlic intake during winter can cut the duration of cold symptoms–from five-and-a-half days to four-and-a-half. [...] - 1/2 teaspoon cayenne powder - 1/2 cup fresh ginger - 2 1/4 cups sliced onions - 1 1/2 teaspoons chopped fresh thyme - 26 garlic cloves, peeled - 1/2 cup coconut milk - 3 1/2 cups organic vegetable broth - 4 lemon wedges [...] Melt butter in heavy large saucepan over medium-high heat. Add onions, thyme, ginger and cayenne powder and cook until onions are translucent, about 6 minutes. Add roasted garlic and 26 raw garlic cloves and cook for 3 minutes. Add vegetable broth; cover and simmer until garlic is very tender, about 20 minutes. Working in batches, puree soup in blender until smooth. Return soup to saucepan; add coconut milk and bring to simmer. Season with sea salt and pepper for flavour.",sciencefeedback_184_ret_bn_g4,sciencefeedback_184,Social media user,False,False,True,refutes,sciencefeedback
COVID-19 vaccines cause leprosy,"AP’S ASSESSMENT: False. The report being referenced, published in a Centers for Disease Control and Prevention journal, relied on data about leprosy cases that predated the COVID-19 vaccines. Vaccines can’t give people leprosy, a bacterial infection formally known as Hansen’s disease. Some researchers have explored whether the vaccines could prompt an immune response that causes complications or prompts the disease to surface in people already infected, though even that association isn’t clear. [...] ""Vaccine safety surveillance systems at CDC have received no increased reports of leprosy after vaccination (including after COVID-19 vaccination),"" the CDC’s Immunization Safety Office said in a statement to the AP. ""These systems have also not identified any unusual or unexpected reporting patterns of leprosy after vaccination. No vaccine safety data to date support a potential link between COVID-19 vaccines and leprosy. CDC continues to recommend that everyone who is eligible should get vaccinated."" Moreover, there’s no way COVID-19 vaccines could actually cause the underlying leprosy infection, said Dr. Jessica Fairley, an infectious disease doctor and Hansen’s disease expert at Emory University. Leprosy is caused by bacteria, she noted, and people live with it in their system for long periods before showing signs.",196,"Myocarditis and Pericarditis After Vaccination for COVID-19 - PMID: 34347001 - PMCID: PMC8340007 - DOI: 10.1001/jama.2021.13443 [...] Incidence, risk factors, natural history, and hypothesised mechanisms of myocarditis and pericarditis following covid-19 vaccination: living evidence syntheses and review.BMJ. 2022 Jul 13;378:e069445. doi: 10.1136/bmj-2021-069445. BMJ. 2022. PMID: 35830976 Free PMC article. Review. [...] Occurrence of Myopericarditis Following COVID-19 Vaccination Among Adults in the Eastern Region, Saudi Arabia: A Multicenter Study.Int J Gen Med. 2024 Jul 23;17:3231-3237. doi: 10.2147/IJGM.S467586. eCollection 2024. Int J Gen Med. 2024. PMID: 39070223 Free PMC article.",sciencefeedback_184_ret_bn_g6,sciencefeedback_184,Social media user,False,False,True,refutes,sciencefeedback
“Most of the victims of the Spanish flu didn’t die from the Spanish flu. They died from bacterial pneumonia. And the bacterial pneumonia was caused by [...] wearing masks”,Scientific studies have associated flu with a higher risk of secondary infection with other viruses and bacteria. Face masks are effective at reducing the spread of viral respiratory infections like COVID-19 and the flu. Face masks are safe to use and not associated with an increased risk of bacterial pneumonia or other health problems.,54,"The theory has spread widely in the wake of a documentary called ""Watch the Water,"" which claims that COVID-19 is actually snake venom that is contracted through drinking water, vaccines and remdesivir, a Food and Drug Administration-approved treatment for the virus. The film has racked up hundreds of thousands of views since it was released on April 11. [...] Based on our research, we rate FALSE the claim that COVID-19 is caused by snake venom. The theory is not consistent with existing medical knowledge, which is that COVID-19 is caused by a virus spread mainly through close contact with other people. The false claim was taken from a recently-released documentary that is tied to the baseless QAnon conspiracy theory, and its hosts have previously spread misinformation surrounding COVID-19. [...] - CDC, accessed May 15, Moderna COVID-19 Vaccine Ingredients - CDC, accessed May 15, Pfizer-BioNTech COVID-19 Vaccine Ingredients - CDC, accessed May 15, Johnson & Johnson (J&J)/Janssen COVID-19 Vaccine Ingredients - EPA, accessed May 15, Coronavirus and Drinking Water and Wastewater - Dr. Frank LoVecchio, April 28, Phone interview with USA TODAY - PolitiFact, April 19, Stew Peters film 'Watch the Water' ridiculously claims COVID-19 is snake venom. That's Pants on Fire - FactCheck.org, April 18, COVID-19 Is Caused By a Virus, Not Snake Venom - Lead Stories, April 13, Fact Check: COVID-19 IS A Virus, NOT Snake Venom Being Used to Poison, Turn People Into Satanic Hybrids - Associated Press, Oct. 29, 2021, Lab leak or animal transmission?",sciencefeedback_187,sciencefeedback_187,Anonymous,False,True,True,refutes,sciencefeedback
“Most of the victims of the Spanish flu didn’t die from the Spanish flu. They died from bacterial pneumonia. And the bacterial pneumonia was caused by [...] wearing masks”,"Scientists announced Monday that they may have solved one of history's biggest biomedical mysteries—why the deadly 1918 ""Spanish flu"" pandemic, which killed perhaps 50 million people worldwide, largely targeted healthy young adults. (Related: ""How Flu Viruses Attack."") [...] Instead, people aged 18 to 29 died in droves during the outbreak, which killed about 1 in 200 of victims. [...] The overall message of the study is a hopeful one, say the researchers, because the bacterial pneumonia secondary to the 1918 flu that killed most of its victims is treatable with modern antibiotics.",92,"American Association of Pro-Life Obstetricians and Gynecologists has repeatedly and falsely stated on social media that ""abortion is never medically necessary."" It also filed an amicus curiae in the Dobbs case repeatedly stating that abortion is ""never medically necessary."" Additionally, AAPLOG’s Donna Harrison co-authored a February 2019 opinion piece claiming ""the truth … is that there is no situation in which an abortion is medically necessary."" [...] Family Research Council has repeatedly claimed that abortions are never medically necessary. In September 2022, it wrote on social media: ""Abortion is never medically necessary to save the life of a mother."" FRC’s publication The Washington Stand posted a September 2022 piece with the headline ""3 Reasons Why Abortion Is Never Medically Necessary."" And the organization’s program Washington Watch with Tony Perkins hosted AAPLOG’s Donna Harrison to purportedly explain ""why an abortion is never medically necessary."" [...] Students for Life of America has repeatedly stated that abortion is ""never medically necessary"" and has released videos with the title ""Abortion is NEVER Medically Necessary."" The group’s president, Kristan Hawkins, has also falsely claimed that abortion is ""never medically necessary to save the life of the mother.""",sciencefeedback_187_ret_b16_gn,sciencefeedback_187,Anonymous,False,False,True,insufficient-supports,sciencefeedback
“Most of the victims of the Spanish flu didn’t die from the Spanish flu. They died from bacterial pneumonia. And the bacterial pneumonia was caused by [...] wearing masks”,"Bacterial Pneumonia Caused Most Deaths in 1918 Influenza Pandemic [...] The majority of deaths during the influenza pandemic of 1918-1919 were not caused by the influenza virus acting alone, report researchers from the National Institute of Allergy and Infectious Diseases (NIAID), part of the National Institutes of Health. Instead, most victims succumbed to bacterial pneumonia following influenza virus infection. The pneumonia was caused when bacteria that normally inhabit the nose and throat invaded the lungs along a pathway created when the virus destroyed the cells that line the bronchial tubes and lungs. [...] The work presents complementary lines of evidence from the fields of pathology and history of medicine to support this conclusion. ""The weight of evidence we examined from both historical and modern analyses of the 1918 influenza pandemic favors a scenario in which viral damage followed by bacterial pneumonia led to the vast majority of deaths,"" says co-author NIAID Director Anthony S. Fauci, M.D. ""In essence, the virus landed the first blow while bacteria delivered the knockout punch.""",170,Reports of suspected adverse reactions to COVID-19 vaccines in Switzerland – update 24.09.2021 [...] The reports of adverse reactions received and analysed to date do not alter the positive benefit-risk profile of the COVID-19 vaccines used in Switzerland. This largely confirms their known side effects profile. Known side effects of COVID-19 vaccines are listed in the continually updated medicinal product information texts published on www.swissmedicinfo.ch. [...] You can find the latest report on suspected adverse reactions to COVID-19 vaccines in Switzerland at the following permalink: www.swissmedic.ch/covid-19-vaccines-safety-update-en,sciencefeedback_187_ret_bn_g0,sciencefeedback_187,Anonymous,False,False,True,insufficient-contradictory,sciencefeedback
“Most of the victims of the Spanish flu didn’t die from the Spanish flu. They died from bacterial pneumonia. And the bacterial pneumonia was caused by [...] wearing masks”,"The claim: A study co-authored by Dr. Anthony Fauci found Spanish flu victims died from pneumonia caused by mask-wearing. [...] ""And the bacterial pneumonia was caused by... wait for it, wait for it... wearing masks."" [...] We rate this claim FALSE because it is not supported by our research. Dr. Anthony Fauci and colleagues did write a 2008 paper determining victims of the 1918 Spanish flu died from bacterial pneumonia brought on by the flu. Masks are not mentioned anywhere, whether as source for the bacteria or otherwise.",88,"There are no genetically modified organisms in the COVID-19 mRNA vaccines; no evidence these vaccines modify our DNA [...] In November 2023, Gentry Gevers, host of the Break Away USA podcast, posted a screenshot of a tweet by journalist Rebekah Barnett on Instagram that read ""Australian GP sues Pfizer and Moderna over unapproved GMOs in mRNA Covid vaccines"". It also claimed ""the human genome could already be permanently altered"". [...] COVID-19 mRNA vaccines don’t contain organisms. As such, the claim that they contain ""unapproved GMOs"" is inaccurate. One example of a COVID-19 vaccine that does contain a GMO and is regulated as such is the AstraZeneca-Oxford COVID-19 vaccine, as it uses a modified adenovirus vector to deliver the genetic material of the spike protein into cells.",sciencefeedback_187_ret_bn_g1,sciencefeedback_187,Anonymous,False,False,True,refutes,sciencefeedback
Abortion is never medically necessary,"Certain life-threatening conditions during pregnancy can make abortion medically necessary in order to save the mother’s life. Preserving both the life of the mother and child by inducing early delivery, as the video suggests, is only possible if the fetus’ gestational age is advanced enough that it stands a chance of survival outside the womb. As this is not always the case, early delivery is not always a suitable alternative to abortion.",72,"Keep a safe space of at least 6 feet (about 2 arms' length) between yourself and other people who are not from your household in both indoor and outdoor spaces. [...] Wash your hands often with soap and water for at least 20 seconds especially after you have been in a public place, or after blowing your nose, coughing or sneezing. When to Wash Your Hands - After you have been in a public place and touched an item or frequently touched surface, such as door handles, tables, gas pumps, shopping carts, or electronic registers/screens, etc.",sciencefeedback_199,sciencefeedback_199,Lila Rose,False,True,True,refutes,sciencefeedback
