id,claim_id,claim,claimant,evidence,factcheck_verdict,is_gold,relevant,evidence_stance,fc_source,boolean_verdict
borderlines-103_ret_b0_gn,borderlines-103,Kfar Qouq is a territory of Syria,Kfar Qouq,"Kafr Qouq or Kafr Qawq (Arabic: كفرقوق) is a Syrian village in the Qatana District of the Rif Dimashq Governorate. According to the Syria Central Bureau of Statistics (CBS), Kafr Qouq had a population of 1,015 in the 2004 census.[1]",Syria,False,True,supports,borderlines,True
borderlines-103_ret_b9_gn,borderlines-103,Kfar Qouq is a territory of Syria,Kfar Qouq,"Kfar Qouq (and variations of spelling) is a village in Lebanon, situated in the Rashaya District and south of the Beqaa Governorate. It is located in an intermontane basin near Mount Hermon near the Syrian border, approximately halfway between Jezzine and Damascus.[1] [...] Kfar Qouq contains two Roman temple sites in the Western section of the town dating to around 111 BC[3] and another less preserved temple near the church.[4] Fragments such as columns and an inscribed block have been re-used in the village and surrounding area.[5] The surrounding area also has many stone basins, tombs, caves, rock cut niches and other remnants from Greek and Roman times.[6] Dr. Edward Robinson, visited in the Summer of 1852 and noted a Greek inscription on a doorway, the public fountain and a large reservoir which he noted ""exhibits traces of antiquity"". The name of the village means ""the pottery place"" in Aramaic and has also been known as Kfar Quq Al-Debs in relation to molasses and grape production in the area. Kfar Qouq also been associated with King Qouq, a ruler in ancient times.[7]",Syria,False,True,insufficient-refutes,borderlines,True
borderlines-105_ret_b0_gn,borderlines-105,Mazraat Deir al-Ashayer is a territory of Syria,Mazraat Deir al-Ashayer,"Mazraat Deir al-Ashayer (Arabic: مزرعة دير العشائر) is a Lebanese village in the Zahle District of the Beqaa Governorate. [...] According to the Syria Central Bureau of Statistics (CBS), Mazraat Deir al-Ashayer which is located within Qatana District in Rif Dimashq Governorate had a population of 1,107 in the 2004 census.[1]",Syria,False,True,insufficient-refutes,borderlines,True
borderlines-106_ret_bn_g0,borderlines-106,Mazraat Deir al-Ashayer is a territory of Lebanon,Mazraat Deir al-Ashayer,"Among the many occupied territories around the world, one can include the entire nation of Tibet, as well as all of these territories. In many ways the entire nation of Lebanon itself is an occupied territory, as the Iranian funded terrorist group Hezbollah حزب الله controls the entire nation. These are just some of the examples: [...] Cities between Lebanon and Syria: Aarsal, Deir El Aachayer, Kfar Qouq, Mazraat Deir al-Ashayer, Qaa, Qasr and Tuffah. All disputed territories.",Lebanon,False,True,insufficient-neutral,borderlines,True
borderlines-107_ret_b0_gn,borderlines-107,Qaa is a territory of Lebanon,Qaa,"Qaa (Arabic: القاع), El Qaa, Al Qaa, Qaa Baalbek or Masharih al-Qaa is a town in Baalbek-Hermel Governorate, Lebanon.[2] A 2010 report stated that population of the settlement was 500, all Lebanese Maronites. [...] The Syrian army invaded Lebanon at 4 a.m. on 1 September 2012 and kidnapped a farmer from the town as part of escalating incursions during the Syrian civil war. The invasion lasted for 40 minutes before the unit withdrew. A house in Qaa had previously been hit by a shell fired by the Syrian army.[5] On the 27 June 2016, at least five people in Qaa were killed and 13 others wounded in an attack by four suicide bombers during the Syrian Civil war spillover into Lebanon.[6][7][8]",Lebanon,False,True,supports,borderlines,True
borderlines-107_ret_b15_gn,borderlines-107,Qaa is a territory of Lebanon,Qaa,"El-Qaa is a plain located in Baalbek–Hermel District, bordered by Syria, Hermel and Ras Baalbek. Since the Middle Ages, El-Qaa was famous for its honey production and its remarkable landscape. Its beautiful natural lake was a crossroad for traders. El-Qaa remains the village for religious tourists. Its many religious sites attract local residents and foreign visitors. Located between Anti-Lebanon mountain range and the Assi River, El-Qaa is best known for its hot semiarid summer and its cold winter. What marks El-Qaa are the Roman and Ottoman monuments that engrave the ancient civilizations in this village. [...] Read moreEl-Qaa is where church bells ring, making the hearts beat. It is known for its churches and became a haven for locals and visitors to pray. At the borders of the Beqaa, El-Qaa became a town for blessings and faith. [...] Read moreEl-Qaa is known for its authentic Lebanese cachet. This village remains very attentive to the Lebanese traditional cuisine. In its old narrowed streets you can find old bakeries, butcheries and kebbe troughs that the big other cities will not be able to reflect them in a proper and genuine way",Lebanon,False,True,insufficient-supports,borderlines,True
borderlines-107_ret_bn_g1,borderlines-107,Qaa is a territory of Lebanon,Qaa,"""You are now technically in Syria,"" a Lebanese military officer told me as the convoy pulled over to the side of the road. I had joined their regiment on an anti-smuggling patrol somewhere near Ras-Baalbek in the Beqaa Valley. When the French demarcated the border between Lebanon and Syria in 1923, they drew arbitrary lines with little connection to tribal or ethnic realities on the ground. The result is areas along the border under de facto Syrian control but that are de jure Lebanese territory, and vice versa. The only tangible sign of a border is the river which makes a rough delineation, but it doesn’t follow the official border for long. Half of the cars here don’t even have license plates. [...] Entering the village of Qaa, the last population center solidly in Lebanese territory before the ambiguous border area, we drove through an arch marked by the flags of the twin Shia militias Hezbollah and Amal—yellow and green, respectively. Fixed to every streetlight were a large Amal flag and a solar panel on top. The United Nations Development Program (UNDP) has been funding solar energy projects in Lebanon since 2006, including a solar farm for farmers in this town. This panel was probably a part of that project. Sustainable energy solutions might work in isolated scenarios, and the farmers are certainly grateful, but the UN’s solution isn’t scalable when Lebanese people are making the equivalent of less than $100 a month. Desperate people aren’t concerned about their carbon footprint.",Lebanon,False,True,supports,borderlines,True
borderlines-108_ret_b10_gn,borderlines-108,Qaa is a territory of Syria,Qaa,"Beyond the barren mountains separating the Lebanese village of Qaa from Syria, fears of missile attacks, abductions and incursions have persisted since the conflict erupted more than four years ago. The barren mountains separating the Lebanese village of Qaa from Syria have helped shield it from the war raging next door, yet fears of missile attacks, abductions and incursions have persisted since the conflict erupted more than four years ago.",Syria,False,True,supports,borderlines,True
borderlines-108_ret_b14_gn,borderlines-108,Qaa is a territory of Syria,Qaa,"El-Qaa is a plain located in Baalbek–Hermel District, bordered by Syria, Hermel and Ras Baalbek. Since the Middle Ages, El-Qaa was famous for its honey production and its remarkable landscape. Its beautiful natural lake was a crossroad for traders. El-Qaa remains the village for religious tourists. Its many religious sites attract local residents and foreign visitors. Located between Anti-Lebanon mountain range and the Assi River, El-Qaa is best known for its hot semiarid summer and its cold winter. What marks El-Qaa are the Roman and Ottoman monuments that engrave the ancient civilizations in this village. El-Qaa attracts visitors from many cities and countries. Gathering various cultures, it created many stories that the locals keep telling to their children and guests. El-Qaa is marked by the eras and wars that befell it, as well as by its breathtaking scenery. [...] Read moreEl-Qaa is best known for its hospitality and warmth. If you drive a long way to visit this village, we recommend you to stay at one of its hotels and experience El-Qaa fine living from dawn until sunset.",Syria,False,True,insufficient-neutral,borderlines,True
borderlines-108_ret_bn_g17,borderlines-108,Qaa is a territory of Syria,Qaa,"Report: Clashes along Lebanon-Syria Border إقرأ هذا الخبر بالعربيةSyrian security forces infiltrated the Bekaa border town of al-Qaa on Tuesday, said various media reports. [...] They stated that the clashes on the Syrian side of the border started on Tuesday in al-Qaa area, adding that bullets struck the Lebanese side of the border. [...] the lebanese army is controlling with mechanised armour the whole area of qaa/ masharih on the lebanese syrian border ,after the retreat of assad forces under attacks from the syrian free army who is controlling the whole area of the syrian border after managing to destroy the "" hajjaneh"" positoions.it seems that the alawi fourth brigade is the only portion of the syrian army fighting for the regime.... and adnan mansour.",Syria,False,True,insufficient-contradictory,borderlines,True
borderlines-109_ret_b6_g0,borderlines-109,Qasr is a territory of Lebanon,Qasr,"Qasr lacks a sewage network. There are efforts to establish one connected to the treatment plant planned for the city of Hermel in the land between the two areas. Muhammad Jaafar, a Qasr-Sahlat al-Moi resident, says that Qasr belongs to the Lebanese state ""in identity only"" as ""deprivation envelops everything"". The ""medical sector"" in the town, which is located 12 kilometers away from Hermel and 160 kilometers away from Beirut, consists only of ""a modest Ministry of Social Affairs clinic that you could call pro forma"" and another clinic belonging to Hezbollah’s Islamic Health Organization. Anyone who needs a small wound stitched must head to Hermel, says Jaafar: ""There is no clinic for an on-call doctor in Qasr."" [...] Recently, Lebanese were reintroduced to Qasr via the talk about smuggling to Syria, as though it were a new phenomenon. In reality, smuggling has been one of the most important sources of income in the area since the two countries separated. Qasr is one of the areas along the border line extending from Dabousieh and Arida in North Lebanon to Deir el-Aachayer in western Beqaa, passing through Hawsh al-Sayyid Ali, Mushrifah, Aarsal, Ham, Maarboun, Masnaa, and other areas. In these areas, border commerce – as their people prefer to call smuggling – has been active ever since the Sykes–-Picot Agreement drew the current border between the two countries.",Lebanon,False,True,insufficient-contradictory,borderlines,True
borderlines-109_ret_bn_g17,borderlines-109,Qasr is a territory of Lebanon,Qasr,"It is a different story however when it comes to the neighboring border town of Al Qasr. Due to the interlaced geography of the area, Al Qasr happens to be situated on both Lebanese and Syria territories, and that is the root of the ongoing friction between the residents of this town and the 11th division of the Syrian Arab army. [...] The local residents of Al Qasr are becoming more vocal in their opposition to the new measures and are threatening to take things further. [...] Says 42 year old Mahdi Jaafar (a pseudonym), a lifelong inhabitant of Al Qasr and a Hezbollah supporter and fighter. ""We have spilled our blood and given the lives of our children to fight terrorism. Our martyrs are hundreds of times more than what the Russians have lost, and if they think they can besiege us in this manner, they are mistaken.""",Lebanon,False,True,insufficient-neutral,borderlines,True
borderlines-11_ret_b0_g1,borderlines-11,Europa Island is a territory of Madagascar,Europa Island,"Europa Island (French: Île Europa, pronounced [il øʁɔpa]), in Malagasy Nosy Ampela[1] is a 28-square-kilometre (11 sq mi) low-lying tropical atoll in the Mozambique Channel, about a third of the way from southern Madagascar to southern Mozambique. The island had never been inhabited until 1820, when the French family of Rosier moved to it. The island officially became a possession of France in 1897, though it is claimed by Madagascar. [...] Map of Europa Island - [...] External links [edit]- Media related to Europa Island (category) at Wikimedia Commons - Mozambique Channel - Indian Ocean atolls of France - Atolls of Madagascar - Uninhabited islands of France - Uninhabited islands of Madagascar - Disputed islands of Africa - Territorial disputes of France - Territorial disputes of Madagascar - Islands of the French Southern and Antarctic Lands - Important Bird Areas of the Scattered Islands in the Indian Ocean - France–Madagascar relations - Ramsar sites in France - Seabird colonies",Madagascar,False,True,insufficient-contradictory,borderlines,True
borderlines-11_ret_b17_gn,borderlines-11,Europa Island is a territory of Madagascar,Europa Island,"Europa Island is a stunning destination located in the Mozambique Channel, between Mozambique and Madagascar. With its pristine beaches, crystal clear waters, and diverse marine life, this French overseas territory is a paradise for nature lovers and adventure enthusiasts. The island is known for its unique ecosystem, combining tropical and coastal environments. Visitors can explore the island’s lagoon, hike through its lush forests, or dive into its vibrant coral reefs. Whether you’re seeking relaxation or adventure, Europa Island offers a truly unforgettable experience. [...] In recent decades, the island’s importance as an ecological haven has been further recognized. It has become a focal point for scientific research, especially in the study of migratory birds, turtles, and marine ecosystems. However, the island’s status has not been without disputes. While the French maintain control, Madagascar has also laid a claim to Europa Island, viewing it as part of its sovereign territory. This territorial dispute, while not escalated to a major diplomatic crisis, remains unresolved. The French government, in collaboration with conservationists, has made significant efforts to protect and conserve the unique habitats on Europa Island. Restrictions on human activities ensure that the island’s environment remains as undisturbed as possible. Today, apart from a small military outpost and a weather station, the island remains largely uninhabited, serving as a testament to nature’s resilience and beauty.",Madagascar,False,True,refutes,borderlines,True
borderlines-110_ret_bn_g17,borderlines-110,Qasr is a territory of Syria,Qasr,"Katyusha Fired from Syria Hits al-Qasr as Shells Strike Akkar Towns إقرأ هذا الخبر بالعربيةA Katyusha rocket fired from Syrian territory landed in the middle of the Hermel town of al-Qasr in the Bekaa on Sunday, state-run National News Agency reported. [...] ""A rocket fired from the positions of the armed opposition in Syria's Qusayr hit the Lebanese town of al-Qasr,"" the Beirut-based, pan-Arab television al-Mayadeen said. Meanwhile, OTV said two shells fired by Syrian rebels landed in al-Qasr.",Syria,False,True,supports,borderlines,True
borderlines-111_ret_b12_gn,borderlines-111,Tuffah is a territory of Syria,Tuffah,"Tuffah (Arabic: التفاح, literally: ""the Apple"") is a district of Gaza City,[1] located northeast of the Old City and is divided into eastern and western halves.[2] Prior to its expansion and the demolition of the Old City's walls, Tuffah was one of the three walled quarters of Gaza, the other two being al-Daraj and Zeitoun. Tuffah was situated in the northeastern section of the Old City. The local pronunciation of the district's name is at-tuffen.[3] Tuffah has existed since early Mamluk rule in Gaza in the 13th century. The southern part of Tuffah was called ""ad-Dabbaghah"". According to Ottoman tax records in the late 16th century, it was a small neighborhood containing 57 households. The ad-Dabbaghah neighborhood contained Gaza's slaughterhouse and tanners' facilities during the Ottoman era (1517-1917). The northern subdivision of Tuffah was called ""Bani Amir.""[3] The 14th-century Ibn Marwan Mosque is located in the district as is the 13th-century Aybaki Mosque.[4] Home to the British War Cemetery, Tuffah also contains Gaza's public library and a number of Palestinian Red Crescent schools.[5]",Syria,False,True,refutes,borderlines,True
borderlines-112_ret_bn_g17,borderlines-112,Tuffah is a territory of Lebanon,Tuffah,"5 Palestinians were injured in Israeli settlers' brutal attack on the town of Al-Mughayir, northeast of Ramallah. pic.twitter.com/LSfFlp5hgk — PALESTINE ONLINE 🇵🇸 (@OnlinePalEng) April 13, 2024 [...] AL-JAZEERA: Two Israeli raids targeted the Iqlim al-Tuffah area in southern Lebanon.",Lebanon,False,True,refutes,borderlines,True
borderlines-112_ret_bn_g5,borderlines-112,Tuffah is a territory of Lebanon,Tuffah,"BEIRUT: Israeli drones on Saturday fired three missiles at a site in Jabal Safi in Lebanon’s Iqlim Al-Tuffah area, about 20 km from the border demarcation line.",Lebanon,False,True,refutes,borderlines,True
borderlines-113_ret_b18_gn,borderlines-113,Shatt al-Arab is a territory of Iraq,Shatt al-Arab,"The Shatt al-Arab appears to have formed quite recently in the Earth's geologic time scale. Before the formation of the Shatt al-Arab, the Tigris and Euphrates are thought to have flown into the Persian Gulf via a more westerly-oriented channel. However, ever since its formation, the Shatt al-Arab has served as an important navigable route for the people settled along its banks. Since a long time ago, many have fought over the region containing modern-day Iran and Iraq, and especially constantly striven for control of the Shatt al-Arab territory. In 1935, as per the decision of an international commission, Iraq received complete control over the Shatt al-Arab territory, and Iran withheld the rights to maintain and manage only its Abadan and Khorramshahr ports along the river. This forced Iran to build alternative ports in the Persian Gulf. By the end of the 1970s, tension was high among the countries regarding the control of the Shatt al-Arab, and a full-fledged war broke out between them in 1980 as a result, and this conflict continued for eight years. The war involved a series of attacks from both sides on coastal areas along the Shatt al-Arab.",Iraq,False,True,insufficient-supports,borderlines,True
borderlines-113_ret_b1_gn,borderlines-113,Shatt al-Arab is a territory of Iraq,Shatt al-Arab,"The Shatt al-Arab (Arabic: شط العرب, lit. 'River of the Arabs'; Persian: اروندرود, romanized: Arvand Rud, lit. 'Swift River'[5]) is a river about 200 kilometres (120 mi) in length that is formed at the confluence of the Euphrates and Tigris rivers in the town of al-Qurnah in the Basra Governorate of southern Iraq. The southern end of the river constitutes the Iran–Iraq border down to its mouth, where it discharges into the Persian Gulf. The Shatt al-Arab varies in width from about 232 metres (761 ft) at Basra to 800 metres (2,600 ft) at its mouth. It is thought that the waterway formed relatively recently in geological time, with the Tigris and Euphrates originally emptying into the Persian Gulf via a channel further to the west. Kuwait's Bubiyan Island is part of the Shatt al-Arab delta.[1] [...] Dispute over the river occurred during the Ottoman-Safavid era, prior to the establishment of an independent Iraq in the 20th century. In the early 16th century, the Iranian Safavids gained most of what is present-day Iraq, including Shatt al-Arab. They later lost these territories to the expanding Ottomans following the Peace of Amasya (1555).[8] [...] - ^ ""Shatt al Arab"". Oxford Public International Law. Retrieved 23 April 2022.",Iraq,False,True,supports,borderlines,True
borderlines-114_ret_b1_gn,borderlines-114,Shatt al-Arab is a territory of Iran,Shatt al-Arab,"The Shatt al-Arab (Arabic: شط العرب, lit. 'River of the Arabs'; Persian: اروندرود, romanized: Arvand Rud, lit. 'Swift River'[5]) is a river about 200 kilometres (120 mi) in length that is formed at the confluence of the Euphrates and Tigris rivers in the town of al-Qurnah in the Basra Governorate of southern Iraq. The southern end of the river constitutes the Iran–Iraq border down to its mouth, where it discharges into the Persian Gulf. The Shatt al-Arab varies in width from about 232 metres (761 ft) at Basra to 800 metres (2,600 ft) at its mouth. It is thought that the waterway formed relatively recently in geological time, with the Tigris and Euphrates originally emptying into the Persian Gulf via a channel further to the west. Kuwait's Bubiyan Island is part of the Shatt al-Arab delta.[1] [...] Geography [edit]The Shatt al-Arab is formed by the confluence of the Tigris and Euphrates rivers at Al-Qurnah, and flows into the Persian Gulf south of the city of Al-Faw. It receives the Karun at Khorramshahr. [...] - ^ ""Shatt al Arab"". Oxford Public International Law. Retrieved 23 April 2022.",Iran,False,True,supports,borderlines,True
borderlines-115_ret_b0_g2,borderlines-115,Abu Musa is a territory of Iran,Abu Musa,"Abu Musa (Persian: بوموسا , IPA: [æbu mu'sɒ], Arabic: أبو موسى) is a 12.8-square-kilometre (4.9 sq mi) island in the eastern Persian Gulf, found near the entrance of Strait of Hormuz.[3] Due to the depth of sea, oil tankers and big ships have to pass between Abu Musa and Greater and Lesser Tunbs, making these islands some of the most strategic points in the Persian Gulf.[4] The island is under the administration of Iran, as part of the Hormozgan province.[5][6] [...] Iran claims Abu Musa Territorial and political ambitions, combined with the economic interests of influential elements within the government, helped strengthen the first Iranian claim to the island of Abu Musa in 1904. Iran began to challenge ... [...] - ^ Pike, John. ""Abu Musa Island – Iran Special Weapons Facilities"". globalsecurity.org. Archived from the original on 26 December 2010. Retrieved 31 July 2006.",Iran,False,True,supports,borderlines,True
borderlines-115_ret_b17_gn,borderlines-115,Abu Musa is a territory of Iran,Abu Musa,"Tehran, Oct 1, IRNA - Undoubtedly, Iran’s sovereignty over the three Persian Gulf islands of the Greater and Lesser Tunbs and Abu Musa was, is, and will remain the Islamic Republic's territory forever, underscored 'Iran Daily' on Wednesday.",Iran,False,True,supports,borderlines,True
borderlines-115_ret_b3_gn,borderlines-115,Abu Musa is a territory of Iran,Abu Musa,"Abu Musa (Persian: ابوموسي)[a] is a city in the Central District of Abumusa County, Hormozgan province, Iran, serving as capital of both the county and the district.[4] [...] See also [edit]Notes [edit]References [edit]- ^ OpenStreetMap contributors (3 September 2023). ""Abu Musa, Abumusa County"" (Map). OpenStreetMap (in Persian). Retrieved 3 September 2023. [...] - ^ Abu Musa, Iran can be found at GEOnet Names Server, at this link, by opening the Advanced Search box, entering ""216753"" in the ""Unique Feature Id"" form, and clicking on ""Search Database"".",Iran,False,True,supports,borderlines,True
borderlines-116_ret_b18_gn,borderlines-116,Abu Musa is a territory of United Arab Emirates,Abu Musa,"Although not as well covered by the media as other disputes over island territories, the conflict between the Islamic Republic of Iran and the United Arab Emirates concerning the sovereignty over the Greater and Lesser Tunbs and Abu Musa is one of the most crucial current unresolved territorial questions. [...] Hilal Al-Kaabi M (1994) The question of Iranian occupation of the Islands, Greater Tunb, Lesser Tunb, and Abu Musa Belonging to the United Arab Emirates,17 May 1994, US Army War College, www.dtic.mil/cgi-bin/GetTRDoc?AD=ADA280066. Accessed 25 Oct 2015 [...] Mattair TR (2005) The three occupied UAE Islands, The Tunbs and Abu Musa. The Emirates Center for Strategic Studies and Research, Abu Dhabi",United Arab Emirates,False,True,insufficient-neutral,borderlines,True
